City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
542,Huilong,CN,80.92,31.8111,121.655,Hilton Garden Inn Qidong
544,Am Timan,TD,81.12,11.0297,20.2827,Palais du chef Canton Salamt
548,Wukari,NG,82.65,7.85,9.7833,Elimtop
550,Cartagena,CO,83.82,10.3997,-75.5144,Hotel Colombia Real - Cartagena
551,Pansemal,IN,80.98,21.65,74.7,जय अम्बे टी स्टाल निवाली रोड पानसेमल
553,Rome,US,86.49,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
554,Bandrele,YT,78.55,-12.9067,45.1914,Les Baobabs
555,Lamesa,US,84.52,32.7376,-101.951,Shiloh Inn Lamesa
562,Karpathos,GR,82.36,35.507,27.2132,Alex
566,San Pedro,PH,78.03,14.35,121.0167,Palines Apartment and Guesthouse
569,Carutapera,BR,86.97,-1.195,-46.02,Lidera
570,Guapo,BR,82.78,-16.8306,-49.5319,Lar de idosos de Guapó
572,Yaviza,PA,85.59,8.1537,-77.6931,Yaviza
574,Glens Falls,US,83.98,43.3095,-73.644,Super 8 by Wyndham Queensbury Glens Falls/Lake George Area
586,Nantucket,US,80.71,41.2835,-70.0995,Jared Coffin House
593,Wang Saphung,TH,83.7,17.301,101.7685,โรงแรมวังรีสอร์ท
596,Arrecife,ES,80.58,28.963,-13.5477,Hotel Lancelot
599,Maragogi,BR,78.98,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
600,Shangrao,CN,79.54,28.4532,117.9686,Boyue boutique Hotel
605,Bago,MM,79.32,17.3367,96.4797,Jade Garden
606,Pinar Del Rio,CU,85.68,22.4175,-83.6981,Hostal La Colina Dunay y Raul
608,Hambantota,LK,84.54,6.1241,81.1185,Bungalow 63
609,Fairlie,GB,80.4,55.756,-4.8556,Brisbane House Hotel
610,Tafresh,IR,84.04,34.692,50.013,هتل یاس سفید
614,Jilib,SO,78.26,0.4883,42.7854,Waadi Hotel
615,Nieuw Amsterdam,SR,86.02,5.8833,-55.0833,Hotel Stardust
623,Lindenwold,US,81.86,39.8243,-74.9977,SpringHill Suites by Marriott Voorhees Mt. Laurel/Cherry Hill
624,Bocanda,CI,81.05,7.0626,-4.4995,Résidence Hôtel
625,Ixtapa,MX,78.22,20.7,-105.2,hotel la terminal
627,Playa Del Carmen,MX,84.88,20.6274,-87.0799,Hotel Kinbe
629,Norsup,VU,78.67,-16.0667,167.3833,Nabelchel Bungalows
635,Gumia,IN,83.55,23.7833,85.8167,Dj Banti Rmx Hosir
636,Porto Novo,BJ,83.88,6.4965,2.6036,Tour Eiffel Hotel Benin
643,Alappuzha,IN,78.01,9.49,76.3264,Panoramic Sea Resort
646,Mabaruma,GY,86.49,8.2,-59.7833,Monty Brooms Guest House
657,Rajula,IN,81.5,21.05,71.4333,Lion Lords Inn Rajula
660,Nauta,PE,85.23,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
664,Nuevo Progreso,MX,84.47,23.1667,-97.95,Balneario Rio el Paraiso
665,Saint Anthony,US,80.96,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
666,Pristol,RO,86.58,44.2247,22.7092,Agro Pensiunea Pristol
669,Ocean City,US,84.02,39.2776,-74.5746,Biscayne Suites
672,Penzance,GB,79.48,50.1186,-5.5371,Artist Residence Penzance
674,Sidi Ali,DZ,83.35,36.0998,0.4206,Complexe touristique haje bezine
676,Frontera,MX,81.32,26.9333,-101.45,Fiesta Inn Monclova
677,Surt,LY,82.27,31.2089,16.5887,الهادي ابوشعاله سرت
681,Itaocara,BR,85.24,-21.6692,-42.0761,Hotel Jothouris
